"x","y","z","var_x","var_y","cov","n","labels","surface","idx","matching","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","segments"
771.330755144262,106.176597533121,150,12.13095785095,12.1220658282576,-0.00706572349928969,0,1,0,4,4,0,0,0,0,0,1
776.20554064473,103.484624061278,0,2.98095425750427,2.97878172015601,-0.00174070874390009,0,1,2,4,4,0,0,0,0,0,1
986.821123997967,-8.41349333446737,0,29.0415851841572,31.9570259434249,3.02404660162019,0,1,2,7,8,3,0,0,0,308.856116954444,2
991.153712517085,0,-15.7222475414624,33.5574532338768,161.203726868725,-36.2598141444832,0,1,1,2,8,3,0,0,0,46.7483240948041,2
1433.73559700347,3.2885604720004,150,60.3071592949199,54.0660694685986,-4.34780070629184,0,1,0,6,6,1,0,0,150,557.22825377176,3
1448.92349362306,0,111.535574000029,290.281696450214,1480.17176623742,-574.277360462305,0,1,1,1,6,0,1,0,150,149.36990265919,3
1466.57264377721,176.944778717024,150,48.1428960348834,47.4547791803577,-1.5907604531581,0,1,0,7,7,0,0,0,0,0,3
1497.59405083089,151.915465103403,0,84.627100274322,83.4175285263309,-2.79627646319071,0,1,2,6,7,0,0,0,0,0,3
2803.29674924048,234.188019617255,0,17.91696886754,18.7430838312783,-1.88958164947251,0,1,2,11,12,0,0,0,0,0,4
2849.02976011757,177.37822786958,150,2.87339037530988,3.00588137940408,-0.303036488726601,0,1,0,11,12,0,0,0,0,0,4
3578.23741366334,77.8582628737928,150,69.320855628704,56.2785327228369,-5.39882821223442,0,1,0,2,2,0,0,0,0,0,5
3657.12017861916,49.4422980777299,0,26.4185928995766,21.4480876284187,-2.05752123170704,0,1,2,2,2,0,0,0,0,0,5
3863.29582085936,85.2144134941434,150,29.8102973680888,31.9698673546452,0.00353999555294109,0,1,0,5,5,0,0,0,0,0,6
3863.36204515072,125.607981550905,0,13.7322732569583,14.727097884603,0.00163633149665232,0,1,2,5,5,0,0,0,0,0,6
3921.78386690316,59.7066396275867,0,83.7175186883171,63.799933863658,-0.48966702369682,0,1,2,10,11,0,0,0,0,0,6
4005.68574284541,57.6451848752824,150,46.2088289855679,35.2150728911643,-0.27027791802097,0,1,0,10,11,0,0,0,0,0,6
4374.58318187625,101.037593823344,0,4.33021496277861,3.3903195214102,-0.131294487061427,0,1,2,1,1,0,0,0,0,0,7
4454.65019922635,90.0625926679452,150,30.9640787311401,24.2432701144031,-0.938877429020434,0,1,0,1,1,0,0,0,0,0,7
4473.76841828983,277.787575278129,0,7.70614453934766,7.3776250712866,-0.482244360730918,0,1,2,8,9,0,0,0,0,0,7
4520.23408423386,244.508349008577,150,0.295019744880937,0.0836281513203521,-0.00546558327759197,0,1,0,8,9,0,0,0,0,0,7
4896.30107752863,260.853523908887,0,73.6743701636535,73.0724887083999,8.14254011482893,0,1,2,9,10,0,0,0,0,0,8
4941.34222088729,300,126.452590535288,225.592576058303,1022.59388764458,328.962059508248,0,1,3,3,10,0,2,300,150,658.633496489734,8
4950.36052135846,312.951917291162,150,135.273640711897,134.168552407689,14.9505340816843,0,1,0,9,10,0,2,300,150,707.268960835798,8
